adj,freq,sem_class,mean dis,subjectivity,age,p/d
delicious,1,value,0.0,0.789285714285714,4,child-directed
chubby,4,dimension,1.0,0.723571428571429,4,child-directed
thick,6,dimension,0.83333333333333337,0.596153846153846,4,child-directed
plastic,11,material,0.0,0.268,4,child-directed
open,1,dimension,0.0,0.422857142857143,4,child-directed
little,471,dimension,0.58386411889596601,0.413571428571429,4,child-directed
fast,1,speed,0.0,0.57125,4,child-directed
faint,1,color,1.0,0.475454545454545,4,child-directed
comfy,8,value,0.0,0.789090909090909,4,child-directed
long,40,dimension,0.025000000000000001,0.556428571428571,4,child-directed
next,4,temporal,0.0,0.281,4,child-directed
gorgeous,1,value,1.0,0.891666666666667,4,child-directed
white,28,color,0.14285714285714285,0.281428571428571,4,child-directed
empty,3,physical,0.0,0.371428571428571,4,child-directed
happy,6,human,1.0,0.43,4,child-directed
flat,1,dimension,0.0,0.256,4,child-directed
clever,5,human,1.0,0.640909090909091,4,child-directed
warm,20,physical,0.40000000000000002,0.6675,4,child-directed
instant,2,speed,1.0,0.251111111111111,4,child-directed
wide,1,dimension,1.0,0.443,4,child-directed
east,2,location,0.0,0.202222222222222,4,child-directed
smooth,3,physical,0.0,0.59875,4,child-directed
grey,9,color,0.0,0.2810714285714285,4,child-directed
neat,6,value,0.66666666666666663,0.582727272727273,4,child-directed
dirty,9,physical,0.22222222222222221,0.504,4,child-directed
wild,3,value,0.0,0.636428571428571,4,child-directed
wicked,1,human,0.0,0.674444444444444,4,child-directed
steep,1,physical,0.0,0.58,4,child-directed
beautiful,62,value,1.0,0.935714285714286,4,child-directed
dandy,1,value,0.0,0.729230769230769,4,child-directed
sad,4,human,0.0,0.567777777777778,4,child-directed
high,1,location,0.0,0.428181818181818,4,child-directed
gentle,5,human,0.40000000000000002,0.573846153846154,4,child-directed
sharp,2,physical,0.5,0.417272727272727,4,child-directed
pink,6,color,0.0,0.1075,4,child-directed
huge,5,dimension,0.20000000000000001,0.624285714285714,4,child-directed
itsy,1,dimension,1.0,0.656666666666667,4,child-directed
cross,3,human,0.66666666666666663,0.477142857142857,4,child-directed
hot,5,physical,0.0,0.403,4,child-directed
quick,2,speed,0.0,0.561111111111111,4,child-directed
sick,4,human,1.0,0.344285714285714,4,child-directed
silly,3,human,0.33333333333333331,0.655,4,child-directed
nice,227,value,0.99118942731277537,0.725833333333333,4,child-directed
poor,40,value,1.0,0.53,4,child-directed
polar,1,dimension,0.0,0.368571428571429,4,child-directed
okay,2,value,0.5,0.88,4,child-directed
smiley,1,human,0.0,0.41,4,child-directed
vicious,1,human,1.0,0.642142857142857,4,child-directed
wrong,1,value,1.0,0.452222222222222,4,child-directed
regular,5,value,1.0,0.651111111111111,4,child-directed
bitsy,1,dimension,0.0,0.66,4,child-directed
fresh,9,age,0.0,0.448181818181818,4,child-directed
fierce,2,human,0.0,0.71,4,child-directed
short,3,dimension,0.0,0.54,4,child-directed
light,3,physical,0.66666666666666663,0.562,4,child-directed
hungry,1,human,0.0,0.473333333333333,4,child-directed
green,55,color,0.036363636363636362,0.208461538461538,4,child-directed
clean,23,physical,0.21739130434782608,0.589230769230769,4,child-directed
tall,5,dimension,0.0,0.675882352941176,4,child-directed
